2022-01-12 17:08:17;B;24.0;0,92
2022-02-13 17:56:55;D;18.5;0.24
2022-05-14 00:14:39;A;27.1;-0.49
2022-04-02 08:02:29;B;25.4;0.02
2022-01-22 20:26:29;F;23.8;0.03
2022-08-29 16:05:35;A;20.1;0.13
2022-02-16 04:30:11;D;18.5;0.61
2022-09-25 10:51:01;B;28.1;0.83
2022-10-09 00:18:12;A;26.3;0.78
2022-07-13 08:34:14;C;23.3;-0.21
2022-03-10 03:33:22;D;27.2;-0.26
2022-03-05 02:27:29;C;27.1;0.2
2022-02-18 15:45:43;B;29.5;0.04
2022-04-01 03:42:15;D;25.5;0.43
2022-02-09 03:44:30;A;25.9;0.31
2022-07-31 15:31:26;A;26.0;-0.43
2022-02-28 08:17:17;C;21.6;0.58
2022-02-25 07:08:03;A;23.3;0.63
2022-01-23 23:17:47;A;154;-0.13
2022-02-09 11:16:16;B;27.7;-0.16
2022-01-09 08:49:04;A;29.7;0.43
2022-05-20 18:17:26;A;23.8;-0.13
2022-04-30 04:42:07;B;29.5;0.48
2022-11-08 10:10:38;B;16.5;0.62
2022-12-18 19:08:01;A;29.0;0.71
2022-02-19 23:11:57;A;15.7;0.67
2022-01-06 19:08:26;C;26.3;0.95
2022-04-02 03:00:22;C;15.4;0.54
2022-10-30 09:40:08;A;29.6;0.83
2022-01-14 23:55:42;A;17.5;-0.09
2022-04-07 01:05:36;A;15.4;-0.45
2022-10-02 10:33:05;C;27.5;0.36
2022-03-08 00:08:41;B;24.5;0.83
2022-04-16 18:05:14;A;24.2;0.62
2022-04-25 22:47:00;C;18.2;0.95
2022-11-07 22:19:58;D;18.2;-0.03
2022-03-11 16:42:49;C;25.5;0.34
2022-07-21 04:42:43;B;19.9;0.93
2022-02-23 16:29:38;A;26.3;0.8
2022-08-17 04:28:04;D;16.8;-0.29
2022-06-25 20:57:44;B;20.3;0.18
2022-10-24 13:35:46;A;17.3;-0.15
2022-12-26 01:27:13;A;28.7;-0.46
2022-06-19 01:08:16;D;23.1;0.92
2022-03-24 03:17:47;D;22.0;0.85
2022-01-14 20:42:04;A;19.8;-0.13
2022-02-06 18:25:37;B;24.0;0.97
2022-10-19 06:43:44;B;19.7;-0.26
2022-08-05 06:23:01;A;19.7;0.23
